YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1983,-2.83,-1.4,2.58,6.41,12.13,19.75,23.43,21.77,17.56,10.93,4.85,-5.25,-0.41,7.04,21.65,11.11,9.85
1984,-6.5,0.96,-2.75,8.64,11.55,19.81,21.24,21.22,14.69,11.74,3.85,1.96,-3.6,5.81,20.76,10.09,8.27
1985,-6.09,-4.05,1.97,9.68,15.24,17,20.9,20.66,17.82,11.33,5.48,-3.63,-2.73,8.96,19.52,11.54,9.32
1986,-3.67,-4.23,2.27,8.72,15.32,17.81,21.68,19.86,16.5,10.43,3.14,0.19,-3.84,8.77,19.78,10.02,8.68
1987,-3.34,-3.93,3.11,9.94,15.78,20.44,23.38,20.45,17.39,8.76,5.76,1.21,-2.36,9.61,21.42,10.64,9.83
1988,-3.08,-4.32,1.73,7.77,15.29,17.71,23.74,22.4,16.68,8.21,6.04,-1.16,-2.06,8.26,21.28,10.31,9.45
1989,-0.45,-5.25,0.48,5.43,12.76,18.8,21.86,20.18,15.94,10.79,3.23,-8.15,-2.29,6.22,20.28,9.99,8.55
1990,0.74,-1.57,2.66,9.06,12.62,19.2,21.78,21.25,16.4,11.34,6.24,1.27,-2.99,8.11,20.74,11.33,9.3
1991,-3.42,-0.84,3.14,10.17,17.84,20.52,22.1,21.58,16.59,11.61,3.99,-0.47,-1,10.38,21.4,10.73,10.38
1992,-2.82,-2.47,-0.32,6.47,13.96,17.38,19.25,18.98,16.37,8.75,4.46,-0.17,-1.92,6.7,18.54,9.86,8.29
1993,-1.47,-6.38,-0.8,8.4,13.79,18.79,22.9,22.1,15.14,9.47,4.15,-1.44,-2.67,7.13,21.26,9.59,8.83
1994,-8.3,-5.19,0.68,8.89,12.5,20.45,22.88,19.9,16.5,11.14,7.21,1.02,-4.98,7.36,21.08,11.62,8.77
1995,-1.36,-5.71,3.15,5.6,13.7,20.92,22.51,22.66,15.46,12.23,2.34,999.9,-2.02,7.48,22.03,10.01,9.38
1996,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1997,999.9,-0.76,0.88,6.02,10.63,19.58,20.63,19.62,16.12,10.55,3.42,0.17,999.9,5.84,19.94,10.03,8
1998,-0.21,1.45,2.78,8.53,17.39,18.75,21.16,22.05,17.89,11.72,5.87,2.11,0.47,9.57,20.65,11.83,10.63
1999,-4.44,-0.29,-0.25,8.05,15.66,20.51,23.79,20.25,18.23,10.37,6.89,0.3,-0.87,7.82,21.52,11.83,10.07
2000,-4.36,-0.9,4.71,7.06,14.44,18.56,20.08,20.26,16.49,11.56,4.06,-5.19,-1.65,8.74,19.63,10.7,9.35
2001,-2.48,-1.8,-0.2,8.77,15.21,19.74,21.3,23.05,17.33,11.94,8.56,2.44,-3.16,7.93,21.36,12.61,9.69
2002,0.04,-0.15,1.5,8.17,11.29,19.71,23.26,22.24,19.67,9.87,4.4,-1.73,0.78,6.99,21.74,11.31,10.2
2003,-6.94,-5.94,1.13,6.41,13.29,17.78,21.18,21.84,17.38,9.61,6.43,0.89,-4.87,6.94,20.27,11.14,8.37
2004,-7.81,-3.33,3.08,8.03,14.84,17.81,20.84,19.86,18.71,11.14,6,-1.03,-3.42,8.65,19.5,11.95,9.17
2005,-4.28,-3.43,-1.2,8.32,12.02,22.2,23.93,22.71,18.97,11.55,6.33,-2.65,-2.91,6.38,22.95,12.28,9.67
2006,1.65,-2.24,1.88,8.95,15.6,20.23,23.23,21.01,15.92,9.53,7.08,2.95,-1.08,8.81,21.49,10.84,10.02
2007,-1.69,-7.4,1.72,5.87,15.19,20.83,21.02,22.48,19.01,14.96,3.98,-1.41,-2.05,7.59,21.44,12.65,9.91
2008,-1.2,-3.75,-0.19,10.56,11.92,19.99,21.96,20.33,17.94,9.86,4.42,-1.39,-2.12,7.43,20.76,10.74,9.2
2009,-7.45,-2.59,1.96,8.22,14.04,18.09,19.44,21.24,16.91,9.26,6.74,-1.82,-3.81,8.07,19.59,10.97,8.71
2010,-4.82,-4.05,3.44,10.64,15.72,19.51,23.09,22.12,17.04,10.55,5.3,-3.19,-3.56,9.93,21.57,10.96,9.73
2011,-5.91,-4.05,-0.01,7.64,14.88,19.37,24.05,21.89,18.64,11.25,8.1,1.98,-4.38,7.5,21.77,12.66,9.39
2012,-0.9,-0.09,8.61,7.38,17.72,20.15,24.21,22.09,17.4,11.29,4.11,2.43,0.33,11.24,22.15,10.93,11.16
2013,-1.04,-3.27,0.51,8.03,16.36,18.78,22.54,20.61,16.36,12.37,3.2,-2.15,-0.63,8.3,20.64,10.64,9.74
2014,-6.59,-6.64,-2.82,7.68,14.28,20.45,20.35,20.6,17.36,11.92,3.29,0.92,-5.13,6.38,20.47,10.86,8.14
2015,-6.31,-11.59,-1.47,7.69,17.06,18.68,21.68,20.93,19.63,10.78,7.93,5.63,-5.66,7.76,20.43,12.78,8.83
2016,-2.73,-1.18,4.42,6.22,14.92,19.77,23.37,24.22,19.42,12.47,7.27,-0.43,0.57,8.52,22.45,13.05,11.15
2017,-0.48,1.67,0.62,10.32,13.42,19.61,21.48,20.39,18.58,13.88,4.39,-3.54,0.25,8.12,20.49,12.28,10.29
2018,-4.24,0.01,-0.29,4.01,18.31,19.56,23.51,22.66,19.56,10.26,2.01,0.71,-2.59,7.34,21.91,10.61,9.32
2019,-4.95,-2.39,-0.24,7.16,13.01,18.46,23.31,21.31,18.46,11.31,2.16,0.8,-2.21,6.64,21.03,10.64,9.03
2020,0.6,-1.4,5.15,6.35,13.3,19.51,25.35,999.9,999.9,999.9,999.9,999.9,0,8.27,22.61,999.9,10.99
